code,name,description,academicYear,level
GEOL502,Évaluation des gisements et calcul des réserves,tronc commun,2025-2026,m2_geotechnique
GEOL503,Géologie des terrains superficiels,tronc commun,2025-2026,m2_geotechnique
GEOL515,Contrôle géologique des exploitations minières,tronc commun,2025-2026,m2_geotechnique
PROJ550,Rédaction et défense d'un mémoire,tronc commun,2025-2026,m2_geotechnique
SSHA401,Éthique et professionnalisme,tronc commun,2025-2026,m2_geotechnique
SSHA410,Responsabilité sociétale des entreprises,tronc commun,2025-2026,m2_geotechnique
STAG502,Stage en entreprise,tronc commun,2025-2026,m2_geotechnique
GEOL544,Geologie Urbaine,Geologie urbaine,2025-2026,m2_geotechnique
GEOPH501,Geophysique appliquée en Geotchnique,Geophysique appliquée en Geotchnique,2025-2026,m2_geotechnique
HYDR572,Hydrogéologie Appliquée,Hydrogéologie Appliquée,2025-2026,m2_geotechnique
MECA501,Mecanique des roches,Mecanique des roches,2025-2026,m2_geotechnique
MODE555,Modelisation des ouvrages Geotchique,Modelisation des ouvrages Geotchique,2025-2026,m2_geotechnique
TUNN511,Tunnells et ouvrages souterrains,Tunnells et ouvrages souterrains,2025-2026,m2_geotechnique
GEOT515,Geotchnique des bassins de stockage et des rejects,Geotchnique des bassins de stockage et des rejects,2025-2026,m2_geotechnique
PROJ505,project de geotechnique,project de geotechnique,2025-2026,m2_geotechnique
