code,name,description,academicYear,level
GEOL101A,Introduction à la Pétrologie,Géosciences II,2024-2025,b1
GEOL101B,Géologie Générale,Géosciences II,2024-2025,b1
GEOL102A,Minéralogie descriptive,Étude des minéraux,2024-2025,b1
GEOL102B,Optique cristalline,Étude des minéraux,2024-2025,b1
GEOL102C,Cristallographie géométrique,Étude des minéraux,2024-2025,b1
GEOL103A,Stratigraphie,Géologie sédimentaire,2024-2025,b1
GEOL103B,Paléontologie,Géologie sédimentaire,2024-2025,b1
GEOL104A,Statistique et probabilité,Analyse statistiques et informatique,2024-2025,b1
GEOL104B,Programmation procédurale,Analyse statistiques et informatique,2024-2025,b1
GEOL105A,Topographie et cartographie,Représentation géologique,2024-2025,b1
GEOL106A,Chimie analytique,Sciences chimiques,2024-2025,b1
GEOL106B,Chimie inorganique,Sciences chimiques,2024-2025,b1
GEOL106C,Chimie organique,Sciences chimiques,2024-2025,b1
LANG108A,Anglais technique 1,Langue,2024-2025,b1
GEOL109A,Géologie de l’environnement,Géologie et milieux naturels,2024-2025,b1
GEOL109B,"Sol, Végétation et Minéralisation",Géologie et milieux naturels,2024-2025,b1
SECO198A,"Économie Générale, Finance et Comptabilité",Sciences économiques,2024-2025,b1
RECH100A,Initiation à la Recherche 1,Recherche,2024-2025,b1
STG0101A,Stage d’imprégnation,Stage et projet tutoré,2024-2025,b1
STG0101B,Projet tutoré,Stage et projet tutoré,2024-2025,b1
