code,name,description,academicYear,level
GEOL201A,Pétrologie magmatique,Sciences pétrologiques,2025-2026,b2
GEOL201B,Pétrologie exogène,Sciences pétrologiques,2025-2026,b2
GEOL201C,Pétrologie métamorphique,Sciences pétrologiques,2025-2026,b2
GEOL202A,Géologie structurale 1,Structure géologique,2025-2026,b2
GEOL202B,Topographie et cartographie,Structure géologique,2025-2026,b2
GEOL203A,Topographie et cartographie,Sciences cartographiques de base,2025-2026,b2
GEOL203B,Technique graphique,Sciences cartographiques de base,2025-2026,b2
GEOL203C,Introduction à la géomatique et télédétection,Sciences cartographiques de base,2025-2026,b2
GEOL204A,Hydrologie générale,Sciences des écoulements et Géomécanique,2025-2026,b2
GEOL204B,Hydrogéologie générale,Sciences des écoulements et Géomécanique,2025-2026,b2
GEOL204C,Mécanique des sols et des roches,Sciences des écoulements et Géomécanique,2025-2026,b2
GEOL205A,Prospection minière,Géosciences appliquées,2025-2026,b2
GEOL205B,Géologie de l’environnement,Géosciences appliquées,2025-2026,b2
GEOL205C,Échantillonnage minier et forage,Géosciences appliquées,2025-2026,b2
GEOL206A,Introduction à la géophysique,Géosciences II,2025-2026,b2
GEOL206B,Géochimie générale,Géosciences II,2025-2026,b2
LANG208A,Anglais technique 2,Langue,2025-2026,b2
RECH200A,Recherche scientifique,Recherche,2025-2026,b2
STG0101C,Stage professionnel 1,Stage et projet tutoré,2025-2026,b2
STG0101D,Projet tutoré,Stage et projet tutoré,2025-2026,b2
